T,x1,y1,z1,x2,y2,z2,x3,y3,z3,pitch,roll
7937,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8079,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8197,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8311,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8429,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8543,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8662,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8776,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8895,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9009,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9128,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9242,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9360,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9474,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9593,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9707,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9825,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9939,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10056,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10171,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10288,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10403,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10519,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10634,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10750,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10865,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10981,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11096,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11212,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11327,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11442,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11557,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11674,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11789,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11904,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
12038,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
